model,activation,optimizer,seq_len,clipping,test_accuracy,test_f1,avg_epoch_time_s
bilstm,none,sgd,50,True,0.4999200767263427,0.46896266931017666,8.195544052124024
bilstm,none,sgd,50,False,0.4999200767263427,0.46896266931017666,7.8765253067016605
bilstm,none,sgd,100,True,0.4956042199488491,0.46465688034456604,8.812227153778077
bilstm,none,sgd,100,False,0.4956042199488491,0.46465688034456604,8.499187707901001
bilstm,none,rmsprop,25,True,0.7072410485933504,0.6998185485569658,8.309938621520995
bilstm,none,rmsprop,25,False,0.7071611253196931,0.6995547201515243,7.94074649810791
bilstm,none,rmsprop,50,True,0.7623481457800512,0.7559525010225965,8.358449363708496
bilstm,none,rmsprop,50,False,0.7627477621483376,0.7561910784717321,8.074755382537841
bilstm,none,rmsprop,100,True,0.8047074808184144,0.7993516987107656,9.020118808746338
bilstm,none,rmsprop,100,False,0.801031010230179,0.7956133017918398,8.635332584381104
